"","X1","plate_rxn_ID","plate_pos_seq","plate_pos_factor","well","methylation","analysis_status","assay_notes","dup1","dup2","stdev","cv","drift_est","meth_adjust","stock_notes","cc_notes","rxn_notes","sample_id","id","kay.code","darting.date","new.box","cell","sample.type","sample.state.quality","tissue.origin","orig.vol.uL","orig.conc.ng.uL","num.freeze.thaw.cyc","last.freeze.thaw.date","samp.select.note","luma.assay.num","luma.notes","hyena","ear.tag.number","code.number.on.samples","found.dead","darter","location","gpsutme","gpsutmn","sex","age.class","natal.or.immigrant","reproductive.status","repro.stat.code","mass","telazol.dose","telazol.booster","darting.time","time.down","blood.sampling.time","radio.collared","radio.freq","radio.serial.num","gn.rh","num.edtawhole.blood","num.edtaplasma","num.edtabuffy.coat","num.serum","num.rbc","num.heparin.plasma","num.urine","num.paste","num.tissues","dnaextracted","num.thin.blood.smears","num.thick.blood.smears","ultrasound","num.fetuses","num.heartbeats","ultrasound.other","fetus.length.r.l.","parasites","parasite.ticks","parasites.lionfiles","parasites.other","glucose.grn.red.","glucose.green","glucose.red","pcv","wbc","rbc","knott.s.microfilaria","total.solids","zygo.to.top.crest","zygo.to.back.crest","eye.to.ear","ear.length","skull.length","head.circ","zygo.breadth","body.length","tail.length","neck.circ","girth","leg.side","front.ft.len","lower.leg.length","upper.leg.length","scapula.length","ht.at.shoulder","hind.ft.length","test.nip.length","test.nip.width","tooth.side","incisors","up.canine.ht","up.pm2len","up.pm3len","up.pm4len","upper.row.len","lower.row.len","low.row.with.m1len","m1length","low.pm4len","low.pm3len","low.pm2len","low.canine.ht","rt.low.pm3ht","lft.low.pm3ht","rt.low.pm3surf","lft.low.pm3surf","cavities.broken.teeth","kid.teeth","body.condition","scars.wounds","dartsheet.comments","reaction.to.darting","notes","num.wbc","num.rtbuffer","other.collected","temperature","respiration","heart.rate","body.fat","old.code.number","old.2nd.number","age.at.darting.days","age.at.darting.note","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","mortality.source","death.date","weaned","clan","park","grad.age.mon","wean.age.mon","age.mon","age.cat","rank_year","hum.pres","lit.size","samp_year","dna_extrct_mth","mom.absrank","mom.strank","mom.strank.quart.order","mom.strank.quart","absrank","strank","strank.quart.order","strank.quart","prim.prey.3.6","prim.prey.6.9","prim.prey.birth.3","prim.prey.gest","prim.prey.peri.concpt","num.transects.3.6","num.transects.6.9","num.transects.birth.3","num.transects.gest","num.transects.peri.concpt","age.inter","samp_year_cnt"
"72",72,"p2r3",11,1,"A11",77.82808467,"y",NA,77.80707684,77.84909249,0.029709547,0.038173299,-0.0757461757587442,77.7801120920195,NA,NA,NA,424,"cmta",360,2008-12-04,"DNA_12",70,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"carmencita",NA,360,0,"asf,ljc,bk","600m w-ok den",737071,9841376,"f",NA,"natal","lactating","lactating",56.4,2.3,0.5,2008-12-04 01:14:00,2008-12-04 01:22:00,2008-12-04 01:41:00,0,"151.545 (old)",NA,0,3,2,0,23,1,8,0,0,"1-milk",2,3,1,0,NA,NA,NA,NA,"ti, lf, tsetses",0,0,0,"62/62",62,62,41.5,NA,NA,NA,6.9,13,18.5,12,9.5,31,54,17,96,24,50,78.5,"r",18.5,27,25.5,28.5,75.5,22,12.25,12.11,"r",21.18,27.57,13.73,21.77,35.33,97.43,79.08,NA,NA,20.1,20.56,14.1,25.98,16.69,16.54,5.39,5.88,"2","none","good","open wound on rt thigh; scar on neck; no paste in sacs","asf did control (pbs) injection; 23 serum samples (5 from 1st timepoint)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-04-27,NA,2012-03-09,NA,NA,NA,NA,"unk",2012-03-26,NA,"fig.tree",NA,NA,NA,57,"adult",NA,NA,NA,2008,"old",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult",1.60266666666666
"73",73,"p2r3",9,1,"A9",77.81591859,"y",NA,77.51429939,78.11753778,0.42655396,0.548157713,-0.0757461757587442,77.7628962669689,NA,NA,NA,419,"adon",355,2002-02-08,"DNA_12",64,"DNA","O","WB",300,NA,NA,NA,"orig samps, plates 1-4",1,NA,"adon",352,355,0,"smd, saw","200m sw - dream camp",746083,9838732,"f",NA,"natal","bado","bado",32.4,1.3,NA,2002-02-07 23:51:00,2002-02-07 23:54:00,2002-02-07 23:57:00,0,NA,NA,0,2,2,NA,4,1,5,NA,NA,NA,2,3,1,0,NA,NA,NA,NA,"ti",0,0,0,"63/66",63,66,34.4,17050,6395000,"hooks",6.8,10.5,13.5,NA,8,24.5,41.5,NA,75,22,40.5,66.5,"r",19,22.5,23,24,67,23.5,3.46,NA,"r",22.95,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","*permanent upper canine not completely in, both deciduous and permanent lower canines present, permanent upper incisors in, all other teeth deciduous","excellent","none","fatty! id number is 355 whereas eartag # is 352!",NA,NA,NA,NA,NA,NA,NA,NA,NA,352,355,325,NA,2001-05-22,2001-10-08,NA,"mrph",2001-03-20,1,2,NA,NA,2001-12-06,"talek","tk",202,261,10.7,"cub",2001,"med","twin",2002,"old",1,1,4,"Q4",NA,NA,NA,NA,0.695774085950448,-0.239740323595028,1.27736114753478,-0.159393642846963,-0.613994105484422,12,8,12,12,10,"cub",-4.39733333333334
"74",74,"p2r3",13,1,"C1",72.71536665,"y",NA,72.62547499,72.80525831,0.127126011,0.174826886,-0.0757461757587442,72.67244381707,NA,NA,NA,430,"thor",710,2002-12-15,"DNA_12",76,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"thor",NA,NA,0,"kmk, cb","300m ne - lb x",744600,9838877,"f",NA,"natal","bado","bado",21.3,1.2,NA,2002-12-15 00:53:00,2002-12-15 00:56:00,2002-12-15 01:08:12,0,NA,NA,0,2,2,NA,4,1,5,NA,NA,NA,2,3,1,0,NA,NA,NA,NA,"ti, lf",0,0,0,"82/81",82,81,30.37,NA,NA,NA,5.9,9.5,12,9,8.5,22.5,38.5,NA,70,20.5,32.5,55,"l",16.5,20,21.5,23,56,21,NA,NA,"l",20.6,11.8,7.5,9.6,21.3,59.8,63.2,82.6,20,16.7,12,8.3,10.5,6.6,6.4,2.1,1.6,"2, tips of both canines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,NA,282,NA,2002-04-26,2002-11-10,2003-01-20,"mrph",2002-03-08,1,NA,NA,NA,NA,"talek","tk",247,NA,9.3,"cub",2002,"med",NA,2002,"old",1,1,4,"Q4",NA,NA,NA,NA,-0.461799990299446,-0.686907893065417,-0.019563398688597,-0.346785439114808,-0.208052617388073,12,12,12,12,8,"cub",-4.39733333333334
"75",75,"p2r3",23,1,"C11",76.26205727,"y",NA,74.58855841,77.93555613,2.366684783,3.103358167,-0.0757461757587442,76.244383162323,NA,"low 230","not enough DNA in HpaII rxn",462,"yet",243,1998-10-20,"DNA_13",31,"DNA","O","WB",1100,NA,NA,NA,"orig samps, plates 1-4",1,NA,"yet",NA,NA,0,NA,"aardwolf trees",745665,9837659,"m",2,"natal","bado","bado",37,1,0.6,1998-10-20 01:22:00,1998-10-20 01:34:00,1998-10-20 01:37:00,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"ti",0,0,0,"57&63/71",60,71,NA,NA,NA,NA,NA,12.4,16.5,NA,9,25.8,44,NA,84.2,23,45,75.5,"l",17.8,22.2,22.8,20.6,69.2,21.6,30,30.7,"l",22.4,19.7,13.4,17.5,35.6,88.6,73.2,NA,NA,21,18.9,14.3,24.4,18.3,19,1.8,NA,"0","none","good - very fat - ate gnu",NA,"seems to have paste (dried) but none to collect",NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,468,NA,1997-07-15,1998-03-18,2001-03-13,"kip",1997-07-09,1,1,NA,NA,1998-07-18,"talek","tk",252,374,15.4,"subadult",1997,"low","twin",1998,"old",6,0.6,3,"Q3",NA,NA,NA,NA,-0.569500419268716,-0.446028242430322,0.638051979255291,0.0712008730215408,-0.0195541153507395,12,12,12,12,12,"subadult",-8.39733333333334
"76",76,"p2r3",14,1,"C2",72.74949991,"y",NA,73.30962405,72.18937577,0.792135155,1.088853059,-0.0757461757587442,72.7091019495953,"poor quality",NA,"not enough DNA in HpaII rxn",432,"mojo",310,2000-07-28,"DNA_12",79,"DNA","O","WB",250,NA,NA,NA,"orig samps, plates 1-4",1,NA,"mojo",301,NA,0,"sw, kh","top den1 cr",749866,9834831,"m",NA,"natal","bado","bado",19.5,1.2,NA,2000-07-28 12:41:00,2000-07-28 12:44:00,2000-07-28 12:53:00,0,NA,NA,0,2,NA,NA,2,1,3,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,"ti, lf",0,0,0,"69/71",69,71,32.4,58550,7580000,"none",7,10,11.5,NA,9,21.5,39,NA,73,22,34.5,59,"l",17.5,21,19,21,59,22,27.7,22.9,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","all but incisors","excellent","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,254,NA,1999-12-09,2000-07-27,2003-11-17,"bail",1999-11-17,1,2,NA,NA,2000-08-28,"talek","tk",253,285,8.3,"cub",1999,"low","twin",2000,"old",17,-0.454545455,1,"Q1 (lowest)",NA,NA,NA,NA,-0.290794729035255,1.09216759789357,-0.701821751180702,-0.873858618242815,0.861847892442561,12,12,12,12,12,"cub",-6.39733333333334
"77",77,"p2r3",16,1,"C4",70.00923263,"y",NA,70.79169638,69.22676887,1.106570856,1.580607036,-0.0757461757587442,69.9738844146459,NA,NA,NA,434,"dna",216,1997-11-07,"DNA_12",81,"DNA","O","WB",400,NA,NA,NA,"orig samps, plates 1-4",1,NA,"dna",NA,NA,0,NA,"w side doc, due w teapot t",747379,9837570,"m",NA,"natal","bado","bado",28.12,NA,NA,1997-11-06 23:58:00,1997-11-07 00:02:00,1997-11-07 00:06:00,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,"lf",0,0,0,NA,66,58,NA,NA,NA,NA,NA,10.4,12.6,NA,8.6,23.5,42,NA,76.8,20.8,42.8,65,"l",16.9,21.3,20.7,22.3,64,20.5,28.5,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","all adult upper incisors, upper p4s erupting","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"costal 37.3/37.6; belly 40.4/41.1; anal 46.7/41.5/44.1; legpit 45.1/45.3; armpit 43.4/45.6",216,NA,319,NA,1997-01-25,1997-06-14,1999-12-09,"gil",1996-12-23,1,1,NA,NA,1997-07-24,"talek","tk",173,213,10.5,"cub",1996,"low","twin",1997,"old",3,0.851851852,4,"Q4",NA,NA,NA,NA,0.121919891900426,0.154403423408517,0.236019451625783,0.360659094345936,3.62758154625207,12,12,12,12,12,"cub",-9.39733333333334
"78",78,"p2r3",17,1,"C5",76.58615443,"y",NA,76.96988751,76.20242135,0.542680526,0.708588295,-0.0757461757587442,76.5533310871712,NA,NA,NA,439,"cart",357,2007-06-25,"DNA_13",6,"DNA","O","WB",400,NA,NA,NA,"orig samps, plates 1-4",1,NA,"carter",357,357,0,"asf,keh,ljc,ksc","200 m w ncm den",744915,9840620,"f",NA,"natal","bado","bado",40.4,1.5,NA,2007-06-25 00:45:00,2007-06-25 00:49:00,2007-06-25 00:51:00,0,NA,NA,0,1,1,0,2,NA,3,0,1,"0",2,3,1,0,NA,NA,NA,NA,"lf",0,0,0,"64/62",64,62,21.4,NA,NA,NA,7.8,12.5,14,11.5,9.5,25.5,50,16,90.5,23.5,47.5,77.5,"r",16.5,27,26,24,74.5,23.5,3.17,NA,"l",22.97,26.19,13.67,20.19,35.11,94.76,76.92,NA,NA,19.26,19.07,13.67,23.82,18.63,18.95,3.76,4.07,"0","none","excellent","abrasion scar on right shoulder","very calm",NA,"some virus on snout; virus on left hip",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2006-01-30,2006-09-14,NA,"nav",2005-12-07,0,NA,NA,NA,2006-11-12,"talek",NA,281,340,18.6,"subadult",2005,"med","single",2007,"old",15,-0.75,1,"Q1 (lowest)",NA,NA,NA,NA,-0.160896501728807,-0.187978973091681,-1.12821561936359,-0.906800691938316,-0.490536507722923,18,15,20,15,13,"subadult",0.602666666666664
"79",79,"p2r3",18,1,"C6",78.20369323,"y",NA,77.97137607,78.43601039,0.328546073,0.420115802,-0.0757461757587442,78.1733947596965,NA,NA,NA,440,"tpe",919,2009-11-06,"DNA_13",7,"DNA","R","WB",491,NA,1,"14-Jul-14","orig samps, plates 1-4",1,NA,"tpe",862,919,0,"dwl, ljc, bks","510m s-choo",746052,9835414,"f",NA,"natal","bado","bado",25.6,0.9,NA,2009-11-06 02:18:00,2009-11-06 02:24:00,2009-11-06 02:28:00,0,NA,NA,0,2,0,0,4,1,4,0,3,"ear",2,3,1,0,NA,NA,NA,NA,"fleas",0,0,0,"67/53",67,53,32.53,NA,NA,NA,6.4,10,13.4,9.9,7.8,23.3,42.1,NA,76.8,18.6,41.8,67.1,"r",16.4,20.6,22.2,22.4,60.2,21.1,3.67,NA,"r",21.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","most","normal","none noted","tubes all labeled ""mgta, #807""",1,"all tubes are labeled mgta 807",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2009-02-17,2009-08-05,2013-05-28,"mos",2009-01-10,1,2,NA,NA,2009-10-29,"talek",NA,207,292,9.9,"cub",2009,"hi","twin",2009,"old",5,0.619047619,3,"Q3",NA,NA,NA,NA,0.715505462250162,-0.781224260061391,-1.12061150150299,-0.718148816348785,0.31301343243784,6,13,5,9,18,"cub",2.60266666666666
"80",80,"p2r3",19,1,"C7",77.83946655,"y",NA,78.11817024,77.56076285,0.39414654,0.506358224,-0.0757461757587442,77.8116929522218,NA,NA,NA,453,"alfe",909,2009-09-15,"DNA_13",21,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"alfe",NA,909,0,"ljc,dsg","300m n-mushroom tree",745678,9834948,"f",NA,"natal","bado","bado",24.6,1.3,NA,2009-09-15 05:53:00,2009-09-15 05:57:00,2009-09-15 06:06:00,0,NA,NA,0,2,0,0,4,1,4,0,1,"0",2,3,0,0,NA,NA,NA,NA,"none",0,0,0,"76/85",76,85,34.13,NA,NA,NA,5.4,9,12.5,9.4,8.2,23.2,41.8,NA,71.4,22.4,41.2,62,"r",17.5,21.3,17.2,21,62.8,20.6,4.14,NA,"r",25.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","most","good/normal","none noted","darted gel right before on same day",1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2009-01-25,2009-08-02,NA,"guci",2009-01-05,1,1,NA,NA,2010-01-15,"talek",NA,209,375,8.3,"cub",2009,"hi","twin",2009,"old",11,0.047619048,2,"Q2",NA,NA,NA,NA,-0.0129111794809512,-0.505238177518301,-0.988082590218371,-0.762071581276117,0.480930642224997,3,16,7,9,16,"cub",2.60266666666666
"81",81,"p2r3",21,1,"C9",76.84060421,"y",NA,76.51196323,77.16924519,0.464768527,0.60484757,-0.0757461757587442,76.8178803572724,NA,NA,NA,457,"gui",308,2000-07-12,"DNA_13",26,"DNA","O","WB",300,NA,NA,NA,"orig samps, plates 1-4",1,NA,"gui",308,NA,0,"sw, sd","sst cd",753724,9835240,"f",NA,"natal","bado","bado",36.8,NA,NA,2000-07-12 01:37:00,2000-07-12 01:42:00,2000-07-12 01:49:00,0,NA,NA,0,4,1,NA,4,1,7,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,"lf",0,0,0,"64/67",64,67,32,18725,5615000,"hooks",7,13.5,15.5,NA,10,27,49,NA,84,24,46.5,72.5,"r",20,25,24,26,66.5,24,4.58,NA,"l",20.6,24.3,13.3,20.92,31.3,90.4,75.6,NA,NA,20.88,19.8,12.96,24.6,17.26,17.96,1.6,0.9,"0",NA,"fat","mild ears rt foreleg, fresh puncture rt pectoral","a little virus on mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,276,NA,516,NA,1999-02-17,1999-10-28,2003-02-16,"amar",1999-02-12,1,1,"humans",2003-02-14,2000-02-22,"talek","tk",258,375,17,"subadult",1999,"low","twin",2000,"old",16,-0.363636364,1,"Q1 (lowest)",NA,NA,NA,NA,0.313478670143488,-0.335435698428046,-0.343442492750892,-0.356506051024956,5.28061866983769,12,12,12,12,12,"subadult",-6.39733333333334
"82",82,"p2r3",34,2,"E10",77.65458724,"y",NA,77.8609434,77.44823108,0.291831676,0.375807388,-0.0757461757587442,77.6646867301012,NA,NA,NA,507,"twst",627,2012-05-07,"DNA_14",10,"DNA","O","WB",200,NA,NA,NA,"orig samps, plates 1-4",1,NA,"twister",NA,627,0,"eds,dsg,keh, ddw","300m e lone tree",748460,9836408,"f",NA,"natal","bsdo","bado",34.3,1.4,0.9,2012-05-07 01:13:00,2012-05-07 01:16:00,2012-05-07 01:34:00,0,NA,NA,0,2,0,1,4,1,4,0,1,"1 hair",2,3,1,0,NA,NA,NA,NA,"lf",0,0,0,"57/76",57,67,33.58,NA,NA,NA,NA,11.2,14.4,10.4,7.9,24,42.9,NA,83.3,21.2,41.8,68.1,"l",19.6,22.9,22.5,23.2,71.5,23.7,2.45,NA,"l",22.17,17.43,12.69,16.81,36.41,92.68,74.1,NA,NA,19.72,17.69,14.58,18.8,20.39,20.16,1.75,1.48,"0","none","good","silver dollar size scrape would right scapulas","adult teeth still erupting",2,"bacterial swabs collected n=6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-05-12,2011-11-19,NA,"adon",2011-03-03,0,NA,NA,NA,2012-05-30,"talek",NA,261,454,14.2,"subadult",2011,"hi","single",2012,"old",11,0.393939394,3,"Q3",NA,NA,NA,NA,0.99558138694888,-0.463576602722923,-0.489519419190498,-0.348765563763174,0.54038770872551,9,16,17,9,18,"subadult",5.60266666666666
"83",83,"p2r3",35,2,"E11",78.07705718,"y",NA,78.00053404,78.15358032,0.108220065,0.138606742,-0.0757461757587442,78.0896815426265,NA,NA,NA,508,"hrpy",842,2012-05-24,"DNA_14",11,"DNA","O","WB",75,NA,NA,NA,"orig samps, plates 1-4",1,NA,"hrpy",NA,842,0,"eds, keh, bmp","358 m n-lone tree",748340,9837042,"f",NA,"natal","bado","bado",42.8,2.3,1.1,2012-05-24 00:29:00,2012-05-24 00:33:00,2012-05-24 00:49:00,0,NA,NA,0,2,0,1,5,1,4,0,0,"0",2,3,1,0,NA,NA,NA,NA,"none",0,0,0,NA,NA,NA,45.29,NA,NA,NA,8,11,15,11.4,9.8,27.5,50,NA,89.5,25.5,46.8,74,"l",19.8,26,23.8,27.3,75.5,22.3,3.89,NA,"l",21.9,27.32,13.43,21.81,34.8,94.4,76.9,NA,NA,23.39,20.32,12.87,25.21,NA,18.71,NA,4.1,"0","none","good","none apparent","we try to collect paste, but none present",1,"6 bacterial swabs collected; blak wart-like growth on ventral neck",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2010-04-02,2010-05-22,NA,"pan",2009-10-29,NA,NA,NA,NA,2010-06-17,"talek",NA,205,231,30.8,"adult",2009,"hi",NA,2012,"old",4,0.714285714,3,"Q3","8","0.658536585",3,"Q3",0.358148313710895,0.810023149365915,-0.202390800336807,-0.847812363252804,0.106547135578919,18,14,18,13,9,"adult",5.60266666666666
"84",84,"p2r3",36,2,"E12",77.82800192,"y",NA,77.21687198,78.43913186,0.864268254,1.110484957,-0.0757461757587442,77.8431511551518,NA,NA,NA,509,"shfx",650,2012-06-06,"DNA_14",12,"DNA","O","WB",75,NA,NA,NA,"orig samps, plates 1-4",1,NA,"shfx",NA,650,0,"eds,smd","lone tree",748214,9836729,"f",NA,"natal","bado","bado",35,1.8,NA,2012-06-06 02:09:00,2012-06-06 02:14:00,2012-06-06 02:18:00,0,NA,NA,0,2,0,1,5,1,4,0,0,"0",2,3,1,0,NA,NA,NA,NA,"lf,ti",0,0,0,"60/60",60,60,39.4,NA,NA,NA,7.1,11.2,15.2,11.5,8.9,26.7,45.4,NA,79.5,23.2,43,67,"l",18.5,24.5,24,23.7,68.4,22,NA,NA,"r",20.71,25.86,14.62,20.06,35.42,92.78,76.84,NA,NA,19.79,19.28,13.39,25.88,18.63,18.27,3.01,3.05,"1","none","good","bite scars on psuedoscrrotum, & small scars on rt shoulder","tried to collect paste but none there. adult teeth may not be fully erupted",1,"6 bacteril swabs collected",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-01-22,2011-08-04,2013-04-25,"blue",2010-12-18,1,1,NA,NA,2012-04-30,"talek","tk",229,499,17.6,"subadult",2010,"hi","twin",2012,"old",8,0.481481481,3,"Q3",NA,NA,NA,NA,-0.823870745399199,0.184243669818429,-0.325840368073598,0.521049190863372,0.872301882156932,15,11,9,18,15,"subadult",5.60266666666666
"85",85,"p2r3",27,1,"E3",77.53407064,"y",NA,78.17507294,76.89306835,0.90651414,1.169181668,-0.0757461757587442,77.5264960224241,NA,NA,NA,472,"bail",97,1999-10-23,"DNA_13",52,"DNA","O","WB",100,NA,NA,NA,"orig samps, plates 1-4",1,NA,"bail",NA,NA,0,"ale,kn","tstop",745232,9837856,"f",4,"natal","lactating","pregnant",81.2,NA,0.5,1999-10-23 01:57:00,1999-10-23 02:03:00,1999-10-23 02:06:00,0,"150.171",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,"fetuses are large",NA,"lf, ti, fl",0,0,0,"55/56",55,56,NA,NA,NA,NA,NA,15.5,19,NA,9,31,57.5,NA,103,22.5,56,99,"l",22,26,26,33,84.5,26,36,36,"r",21.4,28.2,14.8,23,36.6,101.5,83.5,NA,NA,21.3,22,13.8,27.6,17.9,17.4,8,8.4,"1","none","obese",NA,NA,NA,NA,NA,NA,NA,"100.2",26,94,NA,97,NA,2849,NA,1992-02-21,1992-08-28,2007-06-12,"ua",1992-01-04,0,1,"croc",2007-06-12,1993-04-11,"talek","tk",237,463,93.6,"adult",1992,"low","single",1999,"old",8,0.066666667,2,"Q2","17","-0.454545455",1,"Q1 (lowest)",0.37267279904263,2.91608609299595,-0.489188085078927,-0.279821223733794,0.912157717942992,12,10,12,12,12,"adult",-7.39733333333334
"86",86,"p2r3",29,1,"E5",76.43072896,"y",NA,75.91951596,76.94194196,0.722964361,0.945907975,-0.0757461757587442,76.4282040874747,NA,NA,NA,484,"chac",477,2000-07-15,"DNA_13",65,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"chac",NA,NA,0,"rvh, kh","prozac - same as snare (#429)",731542,9839535,"f",NA,"natal","bado","bado",33.8,2.2,NA,2000-07-15 07:20:00,2000-07-15 07:24:00,2000-07-15 07:38:00,0,NA,NA,0,4,1,NA,4,1,3,NA,1,NA,2,3,1,0,NA,NA,NA,NA,"lf, small ned ectos near eyes",0,0,0,"78/85",78,85,36,11225,5365000,"hooks, straight",6.2,11,14.5,NA,10,26.5,44,NA,85,22.5,40.7,63,"l",18.4,22,24,22,68,22,4.3,NA,"l",19.3,26.4,15.2,18.8,35.7,92.2,75.1,NA,NA,22.2,19.6,13.3,27.6,20.6,19.3,1.5,1.8,"teeth still erupting, rotten uprtl1",NA,"good","none","estimated this animal to be 14 months old on 15 jul 00",2,NA,NA,NA,NA,NA,NA,NA,NA,477,NA,488.3,NA,2001-06-05,NA,2003-01-02,"mlt?",2000-01-05,NA,NA,NA,NA,NA,"mara.river",NA,NA,NA,6.3,"cub",2000,"low",NA,2000,"old",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cub",-6.39733333333334
"87",87,"p2r3",31,2,"E7",74.53961831,"y",NA,74.35873184,74.72050477,0.255812096,0.343189437,-0.0757461757587442,74.5421431825253,NA,NA,NA,499,"cy",610,2012-05-27,"DNA_14",1,"DNA","O","WB",75,NA,NA,NA,"orig samps, plates 1-4",1,NA,"cy",NA,610,0,"eds,keh,msl","300m s-nn hill tree",748045,9837155,"m",NA,"natal","bado","bado",35.2,1.85,NA,2012-05-27 00:21:00,2012-05-27 00:24:00,2012-05-27 00:30:00,0,NA,NA,0,2,0,1,5,1,4,0,1,"1 hair",2,3,1,0,NA,NA,NA,NA,"ticks",0,0,0,"60/",60,NA,37.45,NA,NA,NA,6.8,11.8,14.4,10,8.8,25,45.5,NA,88,21.6,41.6,68,"r",19,24.5,23,24,60.6,22,29.28,28.87,"r",21.97,27.05,14.21,19.81,35.9,88.82,73.41,NA,NA,20.59,19.11,14.18,NA,20.35,NA,2.34,NA,"none","noe","good","none seen","adult teeth still erupting",1,"6 bacterial swabs collected",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-01-22,2011-05-25,2013-10-22,"aqua",2010-10-30,1,1,NA,NA,2011-08-09,"talek","tk",207,283,18.9,"subadult",2010,"hi","twin",2012,"old",9,0.407407407,3,"Q3",NA,NA,NA,NA,-0.634449532921944,-0.373814846118335,-0.37709775513389,1.04256773461415,1.07922938444443,9,13,15,21,17,"subadult",5.60266666666666
"88",88,"p2r3",32,2,"E8",77.72330089,"y",NA,77.90535117,77.5412506,0.257457981,0.331249417,-0.0757461757587442,77.7283506350506,NA,NA,NA,505,"dra",774,2012-06-10,"DNA_14",8,"DNA","O","WB",100,NA,NA,NA,"orig samps, plates 1-4",1,NA,"drake",NA,774,0,"eds,keh,nsl","cheetah tree xing",NA,NA,"f",NA,"natal","lacating","lactating",51,2.7,NA,2012-06-10 01:09:00,2012-06-10 01:14:00,2012-06-10 01:20:00,0,"150.301","11418",0,2,0,1,5,1,4,0,1,"1 hair",2,3,1,0,NA,NA,NA,NA,"biting flies",0,0,0,"54/56",54,56,36.85,NA,NA,NA,6.7,12.2,15.8,12,9.5,29.4,50.9,NA,98,22.5,42.8,77,"r",19.3,25.6,23,27.5,76.3,NA,40.33,NA,"r",22.3,28.8,14.28,21.8,36.71,98.4,80.92,NA,NA,22.2,21.38,12.64,26.4,17.5,17.72,5.02,5.18,"0","none","good","2 dime-size wounds on rt butt cheek; small cut on l frtont foot; ;1 cm cut on l belly; half-dollar size scars on l butt cheek","milk expressed w/out ot but not enough to preserve a sample; virus on face",1.5,"used concentrated tz (2.3 cc h2o)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-04-09,2008-07-10,2012-06-12,"ali",2007-11-15,1,1,"car",2012-06-12,2008-12-03,"talek","tk",238,384,54.8,"adult",2007,"med","twin",2012,"old",10,-0.058823529,2,"Q2","26","-0.219512195",1,"Q1 (lowest)",0.299755244960674,-0.326951886833351,-0.683917875794646,0.821416098886934,-0.358982093889372,13,15,14,20,16,"adult",5.60266666666666
