,id,age.cat,age.reps,methylation,meth_adjust,kay.code,darting.date,sex,reproductive.status,mass,glucose.green,glucose.red,pcv,wbc,rbc,total.solids,first.seen,den.grad,disappeared,mom,birthdate,number.littermates,litrank,mortality.source,death.date,weaned,clan,park,mom.absrank,mom.strank,mom.strank.quart,mom.strank.quart.order,hum.pres,lit.size,age.mon,rank_year,samp_year,dna_extrct_mth,absrank,strank,strank.quart,strank.quart.order,prim.prey.3.6,prim.prey.6.9,prim.prey.birth.3,prim.prey.gest,prim.prey.peri.concpt,num.transects.3.6,num.transects.6.9,num.transects.birth.3,num.transects.gest,num.transects.peri.concpt,samp_year_cnt
60,ccp,subadult,1,76.88393402,76.86274708,735,11/1/08,m,ok,49,64,61,40.1,NA,NA,6.5,9/13/08,NA,3/25/12,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,24,NA,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
61,chac,adult,1,79.94543523,79.94435057,477,9/6/02,f,bado,56.2,68,71,37.5,NA,NA,7.2,6/5/01,NA,1/2/03,mlt?,1/5/00,NA,NA,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,NA,32,2000,2002,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.25625
62,chac,cub,1,76.43072896,76.42820409,477,7/15/00,f,bado,33.8,78,85,36,11225,5365000,6.2,6/5/01,NA,1/2/03,mlt?,1/5/00,NA,NA,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,NA,6.3,2000,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
65,chip,adult,3,75.93713617,75.91284996,428,8/2/05,f,lactating,NA,76.33333333,73.33333333,29.54666667,NA,NA,6.9,6/13/01,NA,12/13/09,NA,NA,NA,NA,lion,12/13/09,NA,mara.river,NA,NA,NA,NA,NA,low,NA,115,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
68,chrm,adult,1,72.32625769,72.30185973,418,6/2/00,f,lactating,NA,55,60,33.5,8375,4340000,8.3,6/24/01,NA,6/16/02,NA,NA,NA,NA,NA,6/11/02,NA,mara.river,NA,NA,NA,NA,NA,low,NA,197,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
72,clov,adult,2,77.9185459,77.90705165,1092,11/24/13,f,active,57.6,71,67,34.15,NA,NA,NA,11/25/08,NA,8/24/16,NA,NA,NA,NA,NA,NA,NA,serena.s,tr,NA,NA,NA,NA,low,NA,NA,NA,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
73,cmta,adult,1,77.82808467,77.78011209,360,12/4/08,f,lactating,56.4,62,62,41.5,NA,NA,6.9,4/27/07,NA,3/9/12,NA,NA,NA,NA,unk,3/26/12,NA,fig.tree,NA,NA,NA,NA,NA,NA,NA,57,NA,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
76,coch,adult,1,69.79357282,69.72352309,25,9/5/94,f,lactating,71.4,NA,NA,NA,NA,NA,NA,2/1/85,NA,9/3/95,NA,2/1/85,NA,NA,lions,NA,NA,talek,tk,NA,NA,NA,NA,low,NA,115.1,1985,1994,old,8,0.416666667,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.25625
77,com,adult,2,76.61062863,76.61512264,883,12/26/05,f,bado,51.95,69,81,33.5,NA,NA,NA,6/3/01,NA,NA,atar,11/4/00,1,NA,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,NA,61.7,2000,2002,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.25625
87,dal,adult,1,75.63102841,75.63873275,359,3/20/02,m,okay,47.2,52,56,48.9,21200,12420000,8.3,12/10/01,NA,2/6/03,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,60,NA,2002,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.25625
90,day,adult,1,77.51880568,77.51410905,317,6/9/01,m,ok,37.72,73,70,42.28,10050,8060000,7.4,4/3/00,NA,8/4/06,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,37,NA,2001,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.25625
93,det,adult,1,79.22287586,79.22721451,734,7/16/04,m,ok,45.4,54,53,43.3,NA,NA,6.5,2/21/04,NA,8/13/05,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,44,NA,2004,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25625
94,digs,adult,2,77.35234743,77.34169114,1048,2/5/14,f,lactating,NA,83.5,NA,34.295,NA,NA,NA,7/24/08,NA,3/31/15,NA,NA,NA,NA,NA,8/3/15,NA,serena.n,tr,NA,NA,NA,NA,low,NA,NA,NA,2014,old,5,0.5,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
98,dow,subadult,1,75.41891617,75.43205353,336,8/5/01,m,bado,30.2,66,59,34.7,18475,5400000,6.8,5/22/01,NA,12/16/01,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,13,NA,2001,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.25625
101,dsn,adult,1,76.69606764,76.71532849,886,12/13/08,f,lactating,67.6,62,66,32,NA,NA,7.1,7/25/01,NA,NA,NA,NA,NA,NA,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,NA,105,NA,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
103,dub,adult,1,76.63172255,76.58357042,269,10/19/99,m,NA,50.7,82,78,NA,NA,NA,NA,2/27/99,NA,6/4/16,NA,NA,NA,NA,lions,6/5/16,NA,talek,tk,NA,NA,NA,NA,NA,NA,68,NA,1999,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.25625
104,eco,adult,3,75.86940537,75.8759085,486,2/28/02,f,pregnant,59.3,74,NA,31.27,NA,NA,NA,8/9/01,NA,2/25/06,NA,NA,NA,NA,lions,2/25/06,NA,mara.river,NA,NA,NA,NA,NA,low,NA,47.3,NA,2003,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.25625
105,ein,adult,1,79.43279459,79.45804332,371,12/20/11,f,lactating,63.2,NA,70,2.45,NA,NA,7.2,5/6/07,NA,NA,bel,4/30/06,1,NA,NA,NA,NA,fig.tree,NA,NA,NA,NA,NA,med,NA,67.7,2006,2011,old,NA,NA,NA,NA,0.221372175,-0.380366756,0.003072085,-0.27172742,-1.267510219,12,8,10,12,11,4.74375
106,ein,subadult,1,78.3918916,78.39561544,371,6/24/07,f,bado,30,61,61,35.2,NA,NA,6.8,5/6/07,NA,NA,bel,4/30/06,1,NA,NA,NA,NA,fig.tree,NA,NA,NA,NA,NA,med,NA,13.8,2006,2007,old,NA,NA,NA,NA,0.221372175,-0.380366756,0.003072085,-0.27172742,-1.267510219,12,8,10,12,11,0.74375
107,ema,adult,3,77.52753169,77.50697686,1036,5/23/13,f,lactating,61.4,86.33333333,78,35.65,NA,NA,NA,6/27/08,NA,3/13/16,NA,NA,NA,NA,NA,NA,NA,serena.n,tr,NA,NA,NA,NA,low,NA,NA,NA,2012,old,15,-0.473684211,Q1 (lowest),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74375
109,exc,adult,1,78.05054405,78.04078208,227,2/3/99,m,NA,40.5,54,NA,NA,NA,NA,NA,8/6/97,NA,10/11/00,NA,NA,NA,NA,NA,10/4/00,NA,talek,tk,NA,NA,NA,NA,NA,NA,54,NA,1999,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.25625
110,f467,adult,2,76.40391262,76.36516391,467,7/11/00,f,not-lactating,NA,NA,NA,NA,NA,NA,NA,7/18/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
121,gob,adult,1,74.56595325,74.52776418,167,7/17/97,m,ok,44.1,56,53,NA,NA,NA,NA,5/7/96,NA,6/9/02,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,44,NA,1997,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.25625
122,gofa,subadult,1,71.77965346,71.77236718,574,5/4/15,f,bado,37.8,79,NA,34.97,NA,NA,NA,1/15/14,NA,NA,bora,12/8/13,1,1,NA,NA,NA,talek,NA,NA,NA,NA,NA,hi,twin,16.8,2013,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
126,goog,cub,1,77.52110198,77.50483204,809,11/18/09,f,bado,34.8,80,78,33.82,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2009,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74375
127,gsmk,subadult,1,76.47960893,76.36900591,660,5/24/13,f,bado,36.2,74,NA,34.19,NA,NA,NA,1/10/12,7/18/12,8/17/13,sbl,12/2/11,1,2,NA,NA,10/13/12,talek,NA,NA,NA,NA,NA,hi,twin,17.7,2011,2013,old,NA,NA,NA,NA,-0.625211721,0.233212392,0.192495098,-0.377085929,0.383950887,14,18,18,16,11,6.74375
142,hrlm,adult,2,78.07687141,78.11745343,765,5/3/07,m,ok,51.2,75.5,75,43.505,NA,NA,7.4,10/4/04,NA,8/26/13,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,59,NA,2005,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25625
147,hum,subadult,1,75.25372437,75.32178777,799,3/29/06,m,bado,36.8,53,57,30,NA,NA,7.6,12/3/04,9/24/05,7/8/06,mp,10/30/04,1,1,humans,7/7/06,8/29/05,talek,NA,NA,NA,NA,NA,med,twin,16.9,2004,2006,old,NA,NA,NA,NA,-1.432286024,-1.02970186,-0.981636006,-0.794239345,-1.260591275,12,12,12,12,10,-0.25625
149,ill,adult,1,74.01930922,74.03232518,926,10/11/09,m,ok,58.2,69,75,46.71,NA,NA,7,6/11/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,fig.tree,NA,NA,NA,NA,NA,NA,NA,44,NA,2009,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74375
151,java,adult,3,79.1477008,79.15727852,1074,9/29/13,f,lactating,62.96666667,67.33333333,NA,NA,NA,NA,NA,11/17/08,NA,11/26/17,NA,NA,NA,NA,NA,11/26/17,NA,serena.s,tr,NA,NA,NA,NA,low,NA,NA,NA,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
158,juba,adult,1,73.61085595,73.62278724,327,10/26/08,m,ok,54.8,80,71,42,NA,NA,7.8,10/31/06,NA,NA,NA,NA,NA,NA,NA,NA,NA,fig.tree,tk,NA,NA,NA,NA,NA,NA,37,NA,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
170,kto,adult,1,78.65132958,78.67685335,760,8/10/08,m,ok,53,65,77,41,NA,NA,7.7,8/25/03,NA,9/24/15,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,118,NA,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
171,lamu,adult,1,80.42434988,80.42033959,638,7/8/14,m,ok,60.2,54,56,43.89,NA,NA,NA,11/13/11,NA,5/5/16,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
182,mali,NA,1,74.73409564,74.71223679,213,5/22/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,old,NA,NA,NA,NA,0.099912416,-0.009615679,0.589773161,3.04009235,3.414308633,12,12,12,12,10,5.74375
190,mig,adult,2,77.65949185,77.64904067,126,9/11/04,m,ok,43.35,61,64.5,35,NA,NA,NA,9/6/94,NA,2/2/10,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,106,NA,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
191,mino,cub,1,78.22204538,78.21975379,651,6/14/12,m,bado,14.8,NA,NA,32.855,NA,NA,6.8,12/11/11,6/22/12,11/20/14,pan,10/16/11,1,1,NA,NA,11/29/12,talek,NA,NA,NA,NA,NA,hi,twin,8,2011,2012,old,NA,NA,NA,NA,-0.230272108,-0.63577884,0.060242637,-0.036218915,-0.376284322,18,16,18,13,14,5.74375
192,mls,adult,1,70.51344157,70.49434704,876,9/10/06,f,NA,56.8,78,69,40,NA,NA,7.8,11/26/02,NA,NA,wnd,11/6/02,1,1,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,twin,46.1,2002,2006,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25625
202,mtn,adult,4,75.31830625,75.29465769,1021,12/24/13,f,active,60.25,65.5,67.5,37.6125,NA,NA,NA,4/1/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,serena.s,tr,NA,NA,NA,NA,low,NA,NA,NA,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
203,nana,adult,2,75.14271231,75.14068038,384,7/30/02,f,"lactating, not pregnant",52.8,NA,72.5,31,NA,NA,NA,7/27/01,NA,8/9/09,NA,NA,NA,NA,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,NA,89,NA,2003,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.25625
206,nick,adult,1,75.54091447,75.51839328,226,8/29/01,m,NA,48.6,52,54,38.9,17500,6280000,7,9/9/97,NA,7/31/06,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,103,NA,2001,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.25625
211,oak,adult,2,76.44353398,76.43822492,740,4/23/07,m,ok,51.6,75.5,73.5,29.35,NA,NA,7.2,10/7/04,NA,5/29/14,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,62,NA,2004,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25625
221,oscr,adult,2,74.21710449,74.2253063,775,2/5/08,f,lactating,60.5,71.5,68.5,38.7,NA,NA,6.35,10/31/04,NA,NA,mre,10/25/04,1,1,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,twin,39.4,2004,2008,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74375
222,osl,adult,1,71.11655131,71.08740617,366,2/12/03,m,NA,51,53,57,42.9,NA,NA,7.4,9/19/02,NA,7/4/04,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,41,NA,2003,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.25625
227,pces,subadult,1,77.78915356,77.79910403,546,8/9/15,f,bado,43.4,63,65,36.18,NA,NA,NA,5/21/14,NA,NA,twst,12/2/13,1,1,NA,NA,NA,talek,NA,NA,NA,NA,NA,hi,twin,20.2,2013,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
228,peep,adult,2,74.4174331,74.31792838,1015,6/30/12,f,lactating,55.6,92,97,39.55,NA,NA,NA,8/1/08,NA,2/5/13,NA,NA,NA,NA,NA,NA,NA,serena.n,tr,NA,NA,NA,NA,low,NA,NA,NA,2012,old,14,-0.444444444,Q1 (lowest),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74375
232,pike,adult,1,75.59275776,75.47335209,1008,5/17/15,f,active,64.5,56,64,40.2,NA,NA,NA,6/30/08,NA,NA,koi,10/30/07,NA,NA,NA,NA,NA,happy.zebra,tr,NA,NA,NA,NA,low,NA,90.5,2007,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
233,pisa,adult,1,75.80306181,75.77491032,277,8/19/01,m,okay,53.8,61,61,41,15850,6390000,7.6,8/14/99,NA,5/14/08,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,92,NA,2001,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.25625
235,port,adult,1,77.29483874,77.24278998,368,6/16/04,m,ok,57,65,61,30.5,NA,NA,7.7,9/8/03,NA,4/20/05,NA,NA,NA,NA,NA,1/26/05,NA,talek,NA,NA,NA,NA,NA,NA,NA,44,NA,2004,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25625
246,roh,adult,2,76.10293657,76.10029599,663,4/27/14,f,lactating,69.2,53,60.5,44.1,NA,NA,NA,5/2/07,NA,NA,arw,12/1/06,0,NA,NA,NA,NA,fig.tree,NA,NA,NA,NA,NA,med,single,88.8,2006,2015,old,NA,NA,NA,NA,0.973695795,0.882694365,0.477306501,-0.937495786,0.372535794,14,13,7,11,12,8.74375
259,shrm,adult,1,77.99378874,77.98801048,1088,2/8/13,f,lactating,57.6,87,NA,25.73,NA,NA,NA,6/27/08,NA,10/16/16,NA,NA,NA,NA,NA,10/16/16,NA,serena.n,tr,NA,NA,NA,NA,low,NA,NA,NA,2013,old,5,0.555555556,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74375
262,slin,adult,1,74.76355237,74.70557401,1009,7/22/12,f,lactating,47.8,67,71,63.78,NA,NA,NA,11/17/08,NA,NA,NA,NA,NA,NA,NA,NA,NA,serena.s,tr,NA,NA,NA,NA,low,NA,NA,NA,2012,old,2,0.866666667,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74375
263,slm,adult,1,72.04183105,71.97178132,472,5/18/04,m,ok,41.8,NA,NA,NA,NA,NA,6.4,7/7/00,NA,3/26/08,NA,NA,NA,NA,croc?,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,86,NA,2004,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25625
268,stg,adult,1,68.01384454,67.99475001,164,7/2/97,m,ok,48.9,NA,NA,NA,NA,NA,NA,1/30/95,NA,9/20/99,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,NA,NA,1997,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.25625
269,stl,adult,1,81.07384261,81.0504927,762,9/9/05,m,ok,NA,NA,NA,46,NA,NA,7.9,10/24/04,NA,11/28/05,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25625
270,styr,subadult,1,74.18162641,74.18219931,675,6/1/13,f,bado,35.4,85,84,37.19,NA,NA,NA,12/11/11,6/29/12,NA,pan,10/16/11,1,2,NA,NA,10/27/12,talek,NA,NA,NA,NA,NA,hi,twin,19.5,2011,2013,old,NA,NA,NA,NA,-0.230272108,-0.63577884,0.060242637,-0.036218915,-0.376284322,18,16,18,13,14,6.74375
276,taj,adult,2,78.37061197,78.35592399,1071,11/19/13,f,lactating,65.7,72,70,37.87,NA,NA,NA,11/23/08,NA,NA,NA,NA,NA,NA,NA,NA,NA,serena.s,tr,NA,NA,NA,NA,low,NA,NA,NA,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
292,tz,adult,1,75.57034218,75.57624518,105,8/11/93,m,mature,45.2,NA,NA,NA,NA,NA,NA,7/5/93,NA,2/18/00,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,35,NA,1993,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.25625
293,ua,adult,1,75.40200292,75.35192471,36,3/1/96,f,still nursing amar and kon (born 1-25-95),58.6,NA,NA,NA,NA,NA,NA,8/1/87,NA,5/5/01,79,3/1/87,0,1,lions,NA,8/19/88,talek,tk,NA,NA,NA,NA,low,single,108,1987,1996,old,17,-0.185185185,Q1 (lowest),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.25625
297,vgs,adult,2,76.87070858,76.89043608,225,8/25/01,m,NA,47.45,NA,NA,NA,NA,NA,NA,8/18/97,NA,1/25/06,NA,NA,NA,NA,snakebite?,1/23/06,NA,talek,tk,NA,NA,NA,NA,NA,NA,63.5,NA,2004,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25625
299,wafl,adult,5,78.00648233,77.99648487,1022,1/29/13,f,active,65.76,76.2,76.4,36.458,NA,NA,NA,7/24/08,NA,NA,NA,NA,NA,NA,NA,NA,NA,serena.n,tr,NA,NA,NA,NA,low,NA,NA,NA,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
303,wlg,adult,2,76.77797098,76.77508185,766,7/3/07,m,ok,51.1,NA,NA,36.915,NA,NA,6.65,12/1/04,NA,4/10/14,NA,NA,NA,NA,humans (poison - april 2014),4/12/14,NA,talek,tk,NA,NA,NA,NA,NA,NA,57,NA,2005,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25625
304,wnd,adult,1,73.89135277,73.87225824,446,6/17/00,f,lactating,NA,67,65,40.5,18925,6010000,6.8,5/9/01,NA,5/27/06,NA,NA,NA,NA,lions,5/27/06,NA,mara.river,NA,NA,NA,NA,NA,low,NA,44,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
